GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,comparison,-log10(padj),ann
AFG3L2,227.643688066343,-0.0802109775979658,0.213988585280315,-0.374837646096371,0.707781214581864,0.863937571795425,M_vs_G,0.0635176385446069,Not significant
NKAIN3,43.2257709768516,0.183638617878989,0.49016275637726,0.374648247933487,0.707922085498884,0.864044615584119,M_vs_G,0.0634638318246644,Not significant
ADARB2,19.2682892167414,0.272280496016301,0.727138912438675,0.374454579941441,0.708066142574133,0.864155531822674,M_vs_G,0.0634080856074263,Not significant
FAAP24,26.8318977407882,0.220827951013357,0.589941551172067,0.374321745221416,0.708164955759149,0.864211217884372,M_vs_G,0.0633801006333729,Not significant
POLR2H,99.892639766293,-0.102180922435768,0.273052949269006,-0.374216512618955,0.708243239749621,0.86424184459985,M_vs_G,0.0633647099770444,Not significant
LMTK2,400.648255714146,-0.0822891503777663,0.220007576614022,-0.374028711393578,0.708382955342001,0.864285515529645,M_vs_G,0.0633427652346339,Not significant
RIMOC1,288.00172891477,-0.0819920491246851,0.219215181425178,-0.374025414625174,0.708385408075809,0.864285515529645,M_vs_G,0.0633427652346339,Not significant
LINC02576,617.32866806106,-0.0850516649763338,0.227609704715446,-0.373673280243758,0.70864740685489,0.86454025932766,M_vs_G,0.0632147779866573,Not significant
RBM33-DT,85.1508769607643,-0.110830157518235,0.29673791091091,-0.373495106095526,0.708779987022945,0.86463708777296,M_vs_G,0.0631661397603937,Not significant
LOC124902952,5.21646469749136,-0.34672904708538,0.928578310963512,-0.373397744693828,0.708852437798711,0.864641758902994,M_vs_G,0.0631637935268733,Not significant
LINC02774,17.9292441613892,-0.33654410126036,0.901458154248096,-0.373333026801527,0.708900598602815,0.864641758902994,M_vs_G,0.0631637935268733,Not significant
LINC00882,5.47211611840569,-0.438473241221397,1.1746964289603,-0.373265152095067,0.708951109848365,0.864641758902994,M_vs_G,0.0631637935268733,Not significant
ANKRD13C,998.335221479416,-0.0717221992046469,0.192214389593184,-0.373136472021917,0.709046874965273,0.864641758902994,M_vs_G,0.0631637935268733,Not significant
LOC105378808,19.1478155134492,0.225190096770789,0.603512514524681,0.373132439429439,0.709049876138987,0.864641758902994,M_vs_G,0.0631637935268733,Not significant
TRIM9,38.649532441972,-0.196914185583471,0.528026834485829,-0.372924580197174,0.709204577196565,0.864742263086123,M_vs_G,0.0631133149615166,Not significant
ZNF225,59.2242787215757,0.221700846636684,0.594565608052318,0.372878692669313,0.709238731007986,0.864742263086123,M_vs_G,0.0631133149615166,Not significant
LOC124900610,6.31004295346473,-0.369243716572323,0.991289738736482,-0.372488185989868,0.709529406426076,0.864947140524236,M_vs_G,0.063010432743392,Not significant
IFT43,376.006231795094,-0.0687665257462561,0.184668101526279,-0.372379014989063,0.709610675920288,0.864947140524236,M_vs_G,0.063010432743392,Not significant
PPP1R36,6.25002506634143,-0.362598312185928,0.973776436026388,-0.372362997060756,0.709622600325741,0.864947140524236,M_vs_G,0.063010432743392,Not significant
LOC105377547,13.6535574972017,0.251249043202706,0.674771169126557,0.372347033629089,0.709634484232413,0.864947140524236,M_vs_G,0.063010432743392,Not significant
LOC105379107,17.9083592441067,-0.279247360881158,0.750139094108407,-0.372260775467333,0.709698699964509,0.864947140524236,M_vs_G,0.063010432743392,Not significant
LOC124904054,16.0245022807569,0.350431507883278,0.941453531739872,0.37222390279386,0.709726150816028,0.864947140524236,M_vs_G,0.063010432743392,Not significant
RAPGEFL1,12.5776376296145,-0.292356172995406,0.785600585754289,-0.372143527253995,0.709785989849856,0.864955193420603,M_vs_G,0.0630063893608418,Not significant
LOC105374510,14.5457666683337,-0.3035107298857,0.815812339502871,-0.372034983033781,0.709866803112167,0.864988802682385,M_vs_G,0.0629895144597264,Not significant
DNAJC7,1287.90696562426,-0.0724793538405668,0.194889003065595,-0.371900685520836,0.709966794713576,0.864995495868427,M_vs_G,0.0629861539508861,Not significant
SLC38A1,6465.26407256742,0.0612289518057003,0.164656129825904,0.371859534597585,0.709997434752102,0.864995495868427,M_vs_G,0.0629861539508861,Not significant
RPS6KA3,1362.08707235023,-0.0681123317843274,0.183189696086116,-0.371813116346393,0.710031997285561,0.864995495868427,M_vs_G,0.0629861539508861,Not significant
TRAM2-AS1,25.8580574042593,0.202041266868869,0.543784907080729,0.371546293834291,0.710230682042345,0.86504378840384,M_vs_G,0.0629619080486766,Not significant
PAK5,9.69266327472308,-0.381198107188304,1.02603529556941,-0.371525335272949,0.710246289306166,0.86504378840384,M_vs_G,0.0629619080486766,Not significant
SLC35D1,259.954564889676,0.0962980039892294,0.259246099670555,0.371454012660569,0.710299402203136,0.86504378840384,M_vs_G,0.0629619080486766,Not significant
MRPL1,544.228871799609,0.0676356757621625,0.182105724048878,0.371408840196636,0.710333042198295,0.86504378840384,M_vs_G,0.0629619080486766,Not significant
ZNF76,649.380039470294,0.0661424750664037,0.178088432281106,0.371402421927102,0.710337821938116,0.86504378840384,M_vs_G,0.0629619080486766,Not significant
TRIM35,98.9697535393018,-0.118685209164466,0.319662023955432,-0.371283418955683,0.710426446525339,0.865060500802932,M_vs_G,0.0629535176842918,Not significant
SLC9C2,4.61658438914225,-0.361848900613771,0.974700742672805,-0.37124102277948,0.710458020999146,0.865060500802932,M_vs_G,0.0629535176842918,Not significant
LOC107987029,11.9758257819947,-0.288755604815015,0.777995024221964,-0.371153536751454,0.710523177627465,0.865075012233529,M_vs_G,0.0629462324350321,Not significant
ZSCAN29,146.00938395144,0.0823555004582715,0.221983380298669,0.370998497038228,0.710638651147486,0.865150778639058,M_vs_G,0.0629081970155745,Not significant
LRRIQ3,49.8307966605465,-0.152981524115913,0.412618279944778,-0.370757990015341,0.710817793830447,0.865254873998087,M_vs_G,0.0628559456374032,Not significant
LINC01094,12.7005070119096,0.237215059451595,0.639855523013296,0.3707322214466,0.71083698860655,0.865254873998087,M_vs_G,0.0628559456374032,Not significant
ELK1,110.031856371933,0.128002414887563,0.345327859860982,0.370669238615999,0.710883904724873,0.865254873998087,M_vs_G,0.0628559456374032,Not significant
PROS1,10.3188677253284,-0.323296145479131,0.87285073753179,-0.370391100766363,0.71109110362333,0.865442239740505,M_vs_G,0.0627619119584866,Not significant
LOC105370775,16.4763316665273,0.284265222599826,0.767630310240198,0.370315266095834,0.711147600394542,0.865446177262651,M_vs_G,0.062759936043548,Not significant
MED4,780.43907042279,0.0647242974819171,0.174924705892558,0.370012327027561,0.711373305593052,0.865619224930414,M_vs_G,0.0626731066870477,Not significant
SEC23IP,598.335860385448,0.0635194901758647,0.171682922603486,0.369981412318845,0.711396340065281,0.865619224930414,M_vs_G,0.0626731066870477,Not significant
LOC124907726,6.19987118026826,-0.320702031295508,0.867672552887253,-0.369611819837271,0.711671742897788,0.86583519691729,M_vs_G,0.0625647637339227,Not significant
PIGA,152.748766755897,0.162945695215691,0.440870152560945,0.369600196949521,0.711680404334256,0.86583519691729,M_vs_G,0.0625647637339227,Not significant
MKLN1,2548.86355543746,-0.0766785911992351,0.207623491190718,-0.369315585435369,0.711892509924934,0.865984432936444,M_vs_G,0.0624899148539781,Not significant
