GeneID,S9,S11,S1,S3,S5,S7,S13,S15,S17,S10,S12,S2,S4,S6,S8,S14,S16,S18
TRIB1,67.4231804657521,104.849147888325,96.4320682255066,238.056399317494,458.273138762435,130.292700340234,140.227836259015,84.0434009641402,98.5288922989454,193.490846141988,94.9537773754881,569.795584789119,1941.96828010602,395.011449147391,179.494977857903,257.029046187717,121.068093808768,579.554456906762
ST3GAL1,1066.97183087053,776.01726016709,422.255571472294,679.396914906108,383.14639470302,424.286485723325,912.988761879929,702.718031737546,798.316773036337,1377.98579571514,881.713647058104,763.430853157566,805.908370819936,1120.27837217211,1022.99585282651,971.962414446978,607.46447068961,1531.48930623982
PTPRD,219.125336513694,144.918885934818,20.4552871993499,66.8697750891838,661.115347722857,36.7492231728864,357.354808531038,220.973926522537,119.993191671157,20.3674574886303,25.1918184873744,11.9038074816668,108.357428009403,6.47559752700641,3.76562890610986,5.02188189709571,14.5140112460804,2.66461819267477
SLC24A2,48.8818058376703,56.7654622325324,18.9941952565392,40.1218650535103,210.354883366364,3.3408384702624,106.301746841511,67.2870842610094,38.0150844303018,3.81889827911818,16.7945456582496,3.17434866177782,37.2478658782324,6.47559752700641,7.53125781221972,6.84802076876687,4.95600384012502,9.99231822253038
IFNA2,0,33.3914483720779,4.38327582843212,37.4470740499429,2013.39674079234,0,6.40826133441734,0,78.3576230093975,0,0,2.38076149633337,0,3.23779876350321,0,0.456534717917792,0,0
TEK,15.1702156047942,14.0244083162727,36.5272985702677,2.67479100356735,30.0506976237662,0,23.7482625922525,12.8290549758345,6.98236244638196,0.636483046519697,1.93783219133649,0.793587165444455,5.07925443794078,0,0,1.36960415375337,0,0
PHF24,26.9692721863009,32.0557904371948,10.2276435996749,48.1462380642124,97.6647672772403,43.4309001134112,55.4126127152558,58.6471084609576,23.5331475044725,15.9120761629924,14.8567134669131,12.6973946471113,23.703187377057,32.3779876350321,17.5729348951793,10.0437637941914,9.5580074059554,13.9892455115425
TRPM3,121.361724838354,72.7933574511298,30.6829307990248,42.7966560570777,510.861859604026,153.67856963207,170.761316734768,99.2288129763524,46.290476959347,16.5485592095121,16.7945456582496,27.7755507905559,40.6340355035262,29.1401888715289,5.02083854147981,6.84802076876687,30.7980238636341,7.32770002985561
TMC1,35.3971697445199,41.4053959813766,4.38327582843212,32.0974920428082,75.1267440594156,0,66.3443526386736,35.3453555456664,23.7917535210052,6.36483046519697,9.68916095668246,8.72945881988901,5.07925443794078,3.23779876350321,2.51041927073991,2.28267358958896,9.20400713166075,5.32923638534953
ROR2,20.2269541397256,17.3635531534805,11.6887355424857,16.0487460214041,112.690116089123,3.3408384702624,28.271741181253,18.5890388425357,11.8958767605026,0.636483046519697,3.22972031889415,6.34869732355564,11.8515936885285,3.23779876350321,3.76562890610986,0.913069435835583,1.41600109717858,1.99846364450608
KLF4,193.841643839037,287.834284967311,160.720113709178,676.72212390254,555.937906039676,56.7942539944608,325.690458408034,78.0215996489526,238.69335325965,373.615548307062,144.045526222679,779.302596466455,6850.22115196946,702.602331680196,80.333416663677,315.465490081194,478.608370846359,659.493002687005
EPB41L4B,8.42789755821901,17.3635531534805,5.84436777124283,0,37.5633720297078,3.3408384702624,30.1565239266698,17.2799516001036,7.24096846291462,3.81889827911818,0,0.793587165444455,8.46542406323463,0,0,0.913069435835583,1.06200082288393,2.66461819267477
TLR4,55.6241238842455,132.230135553428,58.4436777124283,171.186624228311,180.304185742597,96.8843156376095,234.466973529858,70.16707619436,126.458342084473,114.566948373545,74.2835673345655,338.861719644782,253.962721897039,317.304278823314,106.692819006446,564.733446064308,584.454452860458,574.891375069581
ASS1,3.37115902328761,6.01046070697402,1.46109194281071,0,22.5380232178247,3.3408384702624,5.6543482362506,2.09453958789134,5.68933236371863,1.27296609303939,0,0.793587165444455,0,0,0,0,0,0
ABL1,155.07331507123,167.625070827831,151.953562052313,187.235370249715,225.380232178247,170.382761983382,118.741312961263,203.95579237092,243.089655540705,126.0236432109,63.3025182503254,73.8036063863344,221.794110456747,97.1339629050962,153.135575515134,84.4589228147915,65.8440510188039,149.884773337956
FCN1,2762.66481958419,3130.11437039858,3410.18859452019,3204.39962227369,3147.81057608951,7597.06668137669,17343.3938667769,1340.24351880197,2843.37315177665,5166.9693716469,2455.87933048711,24065.5307921031,8819.27878907783,34129.6367660873,7944.22178225644,20397.0581271311,8446.09254439592,22099.0109809482
PTGDS,153.387735559586,102.845660986,233.774710849713,66.8697750891838,225.380232178247,10.0225154107872,172.646099480185,155.257746952446,96.4600441666841,85.9252112801591,56.8430776125371,66.6613218973343,82.9611558196993,55.0425789795545,18.8281445305493,31.9574302542454,133.812103683376,17.9861728005547
CXCL12,13.4846360931504,160.946781153415,442.710858671644,45.471447060645,330.557673861429,200.450308215744,74.6373967185079,3.66544427880985,94.3911960344228,0,0.645944063778831,20.6332663015558,1.69308481264693,3.23779876350321,0,1.36960415375337,10.6200082288393,0
ALOX5,11.7990565815066,0.667828967441558,1.46109194281071,2.67479100356735,0,3.3408384702624,4.90043513808385,1.30908724243209,2.84466618185932,3.18241523259849,9.04321689290363,13.4909818125557,25.3962721897039,6.47559752700641,2.51041927073991,16.4352498450405,7.08000548589289,41.3015819864589
WASHC2C,193.841643839037,201.016519199909,151.953562052313,117.690804156964,150.253488118831,223.836177507581,231.074364588108,211.810315825512,175.334879209147,242.500040724005,205.410212281668,341.242481141116,143.912209074989,265.499498607263,305.015941394899,367.510447923822,339.486263048564,321.752646765478
DRGX,10.1134770698628,41.4053959813766,14.6109194281071,139.089132185502,15.0253488118831,3.3408384702624,6.78521788350071,14.1381422182666,65.4273221827643,1.90944913955909,13.5648253393554,36.5050096104449,0,29.1401888715289,2.51041927073991,0.456534717917792,0.708000548589289,15.3215546078799
PRKG1,156.758894582874,134.233622455753,55.5214938268068,147.113505196204,570.963254851559,50.112577053936,226.927842548191,160.494095922174,129.0444022498,18.4580083490712,24.5458744235956,23.0140277978892,69.4164773185239,0,8.78646744758967,19.1744581525472,28.6740222178662,13.9892455115425
DLG5,79.2222370472587,48.0836856557922,68.6713213121032,77.5689391034532,60.1013952475325,86.8618002268224,35.8108721629204,56.0289339760934,59.9965958355783,82.7427960475606,41.3404200818452,7.93587165444455,66.0303076932301,9.71339629050962,15.0625156244394,14.6091109733693,7.43400576018753,14.6554000597112
ZMIZ1,389.368867189718,681.85337575783,423.716663415105,1345.41987479438,706.191394158507,334.08384702624,672.490483564737,439.591496008696,761.594718688699,611.660207705429,424.385249902692,1225.29858344624,5124.96772788224,2483.39165160696,335.140972643778,554.233147552199,733.134568064209,1812.60652556701
CH25H,15.1702156047942,1.33565793488312,5.84436777124283,18.7235370249715,0,0,10.1778268252511,0.785452345459254,3.62048423145731,23.5498727212288,3.22972031889415,53.1703400847785,79.5749861944055,9.71339629050962,3.76562890610986,9.58722907627362,12.3900096003126,5.99539093351823
AFAP1L2,3.37115902328761,15.3600662511558,13.1498274852964,0,52.5887208415909,10.0225154107872,25.256088788586,31.6799112668566,17.8438151407539,2.54593218607879,4.52160844645182,0.793587165444455,8.46542406323463,0,3.76562890610986,5.4784166150135,0,7.32770002985561
DOCK1,42.1394877910951,56.7654622325324,14.6109194281071,45.471447060645,105.177441683182,20.0450308215744,86.3230497400924,37.9635300305306,43.4458107774877,8.27427960475606,10.3351050204613,26.9819636251115,15.2377633138223,6.47559752700641,2.51041927073991,16.8917845629583,15.930012343259,9.99231822253038
RHOG,532.643125679442,243.089744148727,176.792125080095,173.861415231878,217.867557772305,751.68865580904,735.065270712577,376.231673474983,341.101335806585,639.028978705776,414.696088946009,400.76151854945,1676.15396452046,906.583653780898,1217.55334630885,823.132096405778,306.918237813457,1269.02441426136
MMP26,23.5981131630132,21.3705269581298,5.84436777124283,10.6991640142694,22.5380232178247,3.3408384702624,59.1821782060896,30.8944589213973,14.2233309092966,2.54593218607879,3.22972031889415,2.38076149633337,25.3962721897039,0,1.25520963536995,1.36960415375337,1.06200082288393,0
ANO3,37.0827492561637,24.0418428278961,1.46109194281071,5.34958200713471,45.0760464356494,0,76.1452229148414,42.1526092063133,27.1536317359298,7.63779655823637,3.87566438267298,0.793587165444455,16.9308481264693,0,0,0,2.12400164576787,0
RAG1,3.37115902328761,22.0383559255714,1.46109194281071,2.67479100356735,37.5633720297078,0,6.40826133441734,4.97453152124194,3.62048423145731,2.54593218607879,1.29188812755766,0.793587165444455,0,3.23779876350321,1.25520963536995,2.73920830750675,0,0.666154548168692
MDK,114.619406791779,16.0278952185974,67.2102293692925,61.5201930820491,105.177441683182,83.5209617565599,14.7013054142515,7.3308885576197,14.9991489588946,9.54724569779546,5.81349657400948,15.0781561434447,1.69308481264693,32.3779876350321,13.8073059890695,1.36960415375337,0,5.99539093351823
SPI1,42.1394877910951,70.1220415813636,35.066206627457,80.2437301070206,67.6140696534741,70.1576078755104,159.452620262267,50.7925850063651,81.4608952077895,109.475084001388,46.5079725920758,237.282562467892,3215.16805921651,171.60333446567,80.333416663677,211.832109113855,155.406120415349,415.680438057264
ANO1,11.7990565815066,14.6922372837143,2.92218388562141,2.67479100356735,22.5380232178247,3.3408384702624,23.7482625922525,16.7563167031307,7.75818049597995,1.90944913955909,4.52160844645182,0.793587165444455,8.46542406323463,0,0,1.36960415375337,1.77000137147322,0
LRRC32,6.74231804657521,6.01046070697402,4.38327582843212,0,0,23.3858692918368,12.0626095706679,10.7345153879431,19.3954512399499,31.8241523259849,46.5079725920758,30.9498994523338,231.952619332629,25.9023901080257,22.5937734366592,31.5008955363276,41.0640318181788,57.2892911425075
MMP8,5.05673853493141,2.67131586976623,46.7549421699426,10.6991640142694,67.6140696534741,1125.86256447843,7.16217443258409,0.785452345459254,4.39630228105531,0,0,359.494985946338,0,0,6.27604817684977,5.93495133293129,0,0
PDGFD,80.9078165589025,65.4472388092726,52.5993099411854,69.5445660927512,37.5633720297078,60.1350924647232,46.3656555372549,72.7852506792242,47.8421130585431,43.2808471633394,82.0348960999115,21.4268534670003,27.0893570023508,3.23779876350321,0,5.02188189709571,48.1440373040717,4.66308183718084
CARD16,431.508354980814,278.48467942313,319.979135475545,315.625338420948,345.583022673312,698.235240284841,652.511786463319,82.2106788247352,103.701012629599,849.068384057276,1092.93735591378,1776.84166343014,694.164773185239,880.681263672872,687.854880182735,1045.00796931382,865.530670650406,312.426483091116
GRIA4,45.5106468143827,18.6992110883636,4.38327582843212,16.0487460214041,67.6140696534741,0,43.7269596936713,35.8689904426393,12.9303008266333,0.636483046519697,3.87566438267298,0.793587165444455,6.7723392505877,0,0,0,0,0
POU2AF1,33.7115902328761,6.67828967441558,0,2.67479100356735,112.690116089123,40.0900616431488,10.9317399234178,1.57090469091851,7.49957447944729,0.636483046519697,1.93783219133649,1.58717433088891,0,0,1.25520963536995,6.39148605084908,0,0
CADM1,234.295552118489,202.352177134792,417.872295643862,596.47839379552,578.4759292575,53.4534155241984,207.703058544939,501.38041385149,238.951959276183,117.112880559624,121.43748399042,114.276551824002,40.6340355035262,64.7559752700641,38.9114986964686,27.3920830750675,214.17016594826,41.9677365346276
JAML,849.532073868477,532.927516018363,601.969880438011,171.186624228311,330.557673861429,394.218939490963,1871.21230964986,123.054200788616,140.940279010302,535.918725169585,952.121550009996,1603.0460741978,585.807345175836,1217.41233507721,461.917145816143,3107.63182486641,843.936653918432,1015.88568595725
ST3GAL4,69.1087599773959,56.7654622325324,26.2996549705927,5.34958200713471,45.0760464356494,63.4759309349856,76.8991360130081,33.5126334062615,37.7564784137691,21.00394053515,16.7945456582496,16.6653304743336,1.69308481264693,16.188993817516,22.5937734366592,19.1744581525472,28.6740222178662,37.9708092456154
PTPN6,696.144338308891,299.855206381259,406.183560101376,500.185917667095,525.887208415909,1032.31908731108,1223.97791487371,354.762642699096,360.755393063068,1019.64584052456,721.519519240954,968.176341842235,1640.59918345487,2561.09882193104,906.261356737106,1497.89040948827,796.50061716295,1680.70792502961
C3AR1,116.304986303422,93.4960554418181,151.953562052313,131.0647591748,105.177441683182,213.813662096793,353.585243040204,55.767116527607,99.0461043320107,259.048599933517,149.21307873291,1203.07814281379,176.08082051528,359.395662748856,76.5677877575672,779.30476348567,467.98836261752,760.082339460477
CLEC4D,11.7990565815066,47.4158566883506,10.2276435996749,29.4227010392409,15.0253488118831,150.337731161808,51.2660906753387,4.71271407275552,16.8093910746232,40.7349149772606,19.3783219133649,251.567131445892,430.043542412319,45.3291826890449,28.8698216135089,146.091109733693,69.7380540360449,116.577045929521
CLEC4E,69.1087599773959,203.020006102234,74.515689083346,139.089132185502,135.228139306948,33.408384702624,336.999154880535,25.658109951669,22.2401174218092,105.65618572227,71.6997910794502,475.358712101229,501.15310454349,210.456919627708,27.614611978139,667.453757595811,368.16028526643,221.163309992006
